"STATION","NAME","DATE","TMAX","TMIN","TOBS"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-03-06","72","52","67"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-03-07","72","48","63"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-03-08","63","35","51"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-03-09","51","34","43"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-03-10","55","41","55"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-03-11","55","44","44"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-03-12","44","21","24"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-03-13","29","17","28"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-03-14","37","26","36"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-03-15","45","26","42"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-03-16","46","27","46"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-03-17","69","46","47"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-03-18","47","29","38"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-03-19","47","22","45"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-03-20","60","29","56"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-03-21","56","23","53"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-03-22","75","35","73"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-03-23","73","54","54"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-03-24","56","26","54"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-03-25","69","41","66"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-03-26","68","41","62"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-03-27","62","47","55"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-03-28","76","53","70"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-03-29","70","35","41"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-03-30","57","28","56"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-03-31","72","33","61"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-04-01","61","40","45"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-04-02","45","34","40"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-04-03","58","28","57"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-04-04","69","33","66"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-04-05","66","48","54"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-04-06","66","49","59"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-04-07","59","44","47"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-04-08","47","34","42"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-04-09","49","34","46"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-04-10","56","32","50"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-04-11","50","36","39"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-04-12","41","32","41"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-04-13","59","36","56"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-04-14","79","39","71"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-04-15","71","42","45"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-04-16","50","31","48"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-04-17","61","29","59"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-04-18","72","50","69"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-04-19","71","49","70"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-04-20","71","51","68"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-04-21","70","54","60"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-04-22","60","41","48"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-04-23","69","31","67"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-04-24","79","51","78"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-04-25","78","64","70"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-04-26","80","56","77"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-04-27","83","61","82"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-04-28","83","62","79"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-04-29","79","66","66"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-04-30","78","65","78"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-05-01","78","54","59"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-05-02","79","45","75"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-05-03","79","49","74"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-05-04","74","47","70"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-05-05","73","47","70"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-05-06","70","44","58"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-05-07","67","36","66"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-05-08","72","42","70"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-05-09","72","52","70"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-05-10","70","55","64"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-05-11","66","46","66"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-05-12","72","39","63"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-05-13","75","46","70"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-05-14","79","54","76"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-05-15","81","65","77"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-05-16","78","57","76"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-05-17","78","54","75"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-05-18","78","57","78"
